         time_stamp  satellite_count satellite_name  aggregator_flag                        federatedlearning_adjacencymatrix
2024-09-16 12:42:04                4    Satellite 1             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-17 05:14:04                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 05:24:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 05:34:44                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 05:45:04                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-17 05:55:24                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 06:05:44                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 06:16:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 06:26:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 06:36:44                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 1], [0, 0, 0, 0], [0, 1, 0, 0]]
2024-09-17 06:47:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 06:57:24                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 07:07:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 07:18:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 07:28:24                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 07:38:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 07:49:04                4    Satellite 4             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 07:59:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 08:09:44                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 08:20:04                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 08:30:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 08:40:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 08:51:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 09:01:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 09:11:44                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 09:22:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 09:32:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 09:42:44                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 09:53:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 10:03:24                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 10:13:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 10:24:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 10:34:24                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 10:44:44                4    Satellite 2             True [[0, 1, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]
2024-09-17 10:55:04                4    Satellite 4             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 1], [1, 1, 1, 0]]
2024-09-17 11:05:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 11:15:44                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 11:26:04                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 11:36:24                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 11:46:44                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 11:57:04                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 1], [1, 0, 0, 0], [1, 1, 0, 0]]
2024-09-17 12:07:24                4    Satellite 1             True [[0, 1, 1, 1], [1, 0, 0, 0], [1, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 12:17:44                4    Satellite 4             True [[0, 0, 0, 1], [0, 0, 0, 0], [0, 0, 0, 1], [1, 0, 1, 0]]
2024-09-17 12:28:04                4    Satellite 3             True [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 1], [0, 0, 1, 0]]
2024-09-17 12:38:24                4    Satellite 2             True [[0, 1, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0], [1, 1, 0, 0]]
