
Timestep: 1, Round: 1, Target Node: 2, Phase: TRAINING
Timestep: 35, Round: 7, Target Node: 2, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 36, Round: 7, Target Node: 2, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 37, Round: 7, Target Node: 2, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 38, Round: 7, Target Node: 2, Phase: TRANSMITTING
0,1,0,0,0
1,0,0,1,0
0,0,0,1,1
0,1,1,0,0
0,0,1,0,0

Timestep: 39, Round: 8, Target Node: 3, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 40, Round: 8, Target Node: 3, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 41, Round: 8, Target Node: 3, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 42, Round: 8, Target Node: 3, Phase: TRANSMITTING
0,1,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0

Timestep: 43, Round: 8, Target Node: 3, Phase: TRANSMITTING
0,1,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0

Timestep: 44, Round: 8, Target Node: 3, Phase: TRANSMITTING
0,1,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0

Timestep: 45, Round: 8, Target Node: 3, Phase: TRANSMITTING
0,1,1,0,1
1,0,0,0,1
1,0,0,0,0
0,0,0,0,0
1,1,0,0,0

Timestep: 46, Round: 8, Target Node: 3, Phase: TRANSMITTING
0,1,1,0,1
1,0,0,0,1
1,0,0,1,0
0,0,1,0,0
1,1,0,0,0

Timestep: 47, Round: 9, Target Node: 2, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 48, Round: 9, Target Node: 2, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 49, Round: 9, Target Node: 2, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 50, Round: 9, Target Node: 2, Phase: TRANSMITTING
0,0,1,0,1
0,0,0,1,1
1,0,0,1,0
0,1,1,0,0
1,1,0,0,0

Timestep: 51, Round: 10, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 52, Round: 10, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 53, Round: 10, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 54, Round: 10, Target Node: 1, Phase: TRANSMITTING
0,1,1,1,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,1,0

Timestep: 55, Round: 11, Target Node: 4, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 56, Round: 11, Target Node: 4, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 57, Round: 11, Target Node: 4, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 58, Round: 11, Target Node: 4, Phase: TRANSMITTING
0,0,1,1,0
0,0,0,1,1
1,0,0,1,0
1,1,1,0,0
0,1,0,0,0

Timestep: 59, Round: 12, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 60, Round: 12, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 61, Round: 12, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 62, Round: 12, Target Node: 0, Phase: TRANSMITTING
0,1,0,1,1
1,0,0,1,0
0,0,0,0,1
1,1,0,0,0
1,0,1,0,0

Timestep: 63, Round: 13, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 64, Round: 13, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 65, Round: 13, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 66, Round: 13, Target Node: 0, Phase: TRANSMITTING
0,1,0,1,1
1,0,0,1,1
0,0,0,0,0
1,1,0,0,1
1,1,0,1,0

Timestep: 67, Round: 13, Target Node: 0, Phase: TRANSMITTING
0,1,0,1,1
1,0,0,1,1
0,0,0,0,0
1,1,0,0,1
1,1,0,1,0

Timestep: 68, Round: 13, Target Node: 0, Phase: TRANSMITTING
0,1,0,1,0
1,0,0,1,1
0,0,0,0,0
1,1,0,0,0
0,1,0,0,0

Timestep: 69, Round: 13, Target Node: 0, Phase: TRANSMITTING
0,1,0,0,0
1,0,0,1,1
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0

Timestep: 70, Round: 13, Target Node: 0, Phase: TRANSMITTING
0,1,0,0,0
1,0,0,1,1
0,0,0,1,0
0,1,1,0,0
0,1,0,0,0

Timestep: 71, Round: 14, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 72, Round: 14, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 73, Round: 14, Target Node: 0, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 74, Round: 14, Target Node: 0, Phase: TRANSMITTING
0,1,1,0,0
1,0,1,1,0
1,1,0,1,0
0,1,1,0,0
0,0,0,0,0

Timestep: 75, Round: 14, Target Node: 0, Phase: TRANSMITTING
0,1,1,0,0
1,0,1,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 76, Round: 14, Target Node: 0, Phase: TRANSMITTING
0,1,1,0,1
1,0,1,0,0
1,1,0,0,1
0,0,0,0,0
1,0,1,0,0

Timestep: 77, Round: 14, Target Node: 0, Phase: TRANSMITTING
0,1,1,0,1
1,0,1,1,1
1,1,0,1,1
0,1,1,0,0
1,1,1,0,0

Timestep: 78, Round: 15, Target Node: 3, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 79, Round: 15, Target Node: 3, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 80, Round: 15, Target Node: 3, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 81, Round: 15, Target Node: 3, Phase: TRANSMITTING
0,0,0,0,1
0,0,1,0,0
0,1,0,1,1
0,0,1,0,0
1,0,1,0,0

Timestep: 82, Round: 16, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 83, Round: 16, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 84, Round: 16, Target Node: 1, Phase: TRAINING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0

Timestep: 85, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,1,0,0
0,1,0,1,0
0,0,1,0,1
0,0,0,1,0

Timestep: 86, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,1,0,0
0,1,0,1,1
0,0,1,0,0
0,0,1,0,0

Timestep: 87, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,1
0,0,1,0,0
0,1,0,0,1
0,0,0,0,0
1,0,1,0,0

Timestep: 88, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,1
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
1,0,1,0,0

Timestep: 89, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,1,0,0

Timestep: 90, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,0
0,1,1,0,0

Timestep: 91, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0

Timestep: 92, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0

Timestep: 93, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,1,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0

Timestep: 94, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,1
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0

Timestep: 95, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,1
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0

Timestep: 96, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,1,0
0,0,0,0,1
0,0,0,1,0
1,0,1,0,0
0,1,0,0,0

Timestep: 97, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,1,1,1,0

Timestep: 98, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,1,1,0

Timestep: 99, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,1,1,0

Timestep: 100, Round: 16, Target Node: 1, Phase: TRANSMITTING
0,0,0,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,1,1,0
